,trajectoryType,confidence
0,selfOrienting,3171.3535753818755
1,chainingResponse,3401.276595767127
2,incursion,5086.291271527023
3,chainingResponse,5646.696502590408
4,incursion,4336.283516323545
5,chainingResponse,5078.77201893924
6,selfOrienting,3996.615398587722
7,chainingResponse,6570.487878890257
8,chainingResponse,9042.471325529774
9,incursion,5583.142835168041
10,chainingResponse,4721.61077216027
11,chainingResponse,5259.617572151471
